nct_id,brief_title,overall_status,completion_date,study_first_post_date,phase,has_results,enrollment_count,enrollment_type,lead_sponsor_name,lead_sponsor_class,pmid_count_any,pmids_any,pmid_count_results,pmids_results,publication_linkage_rule,has_any_pmid,has_pmid,is_unlinked_any_pmid,is_unpublished_with_results,is_ghost_protocol,weight_n,weight_n_imputation,results_effect,results_se,results_effect_type
NCT00838799,Study of the Safety and Efficacy of RGH-896 in Patients With Diabetic Peripheral Neuropathic Pain,COMPLETED,,2009-02-06,PHASE2,False,458,ACTUAL,Forest Laboratories,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,False,True,458,none,,,
NCT00610155,A Methodology Study Of Brain Imaging Of Pain-Killers In Post-Traumatic Neuropathic Pain Patients,COMPLETED,2010-07,2008-02-07,NA,True,18,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,18,none,-1.4894610588800916,0.8430044218090458,log_or_2x2
NCT01701362,Placebo-controlled Safety and Efficacy Study of Pregabalin in Subjects With Post-traumatic Peripheral Neuropathic Pain,COMPLETED,2015-08,2012-10-05,PHASE3,True,542,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,1,30242745,0,,results_pmid_strict,True,False,True,True,False,542,none,-0.05479290978753768,0.5625989425015528,log_or_2x2
NCT02927951,The Effect of Pregabalin on Pain Related to Walking in Patients With Diabetic Peripheral Neuropathy,COMPLETED,2013-12,2016-10-07,PHASE3,False,44,ACTUAL,Eastern Virginia Medical School,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,44,none,,,
NCT00599638,A Study To Compare Pregabalin/PF-00489791 Combination Versus Pregabalin Alone In Post-Herpetic Neuralgia,COMPLETED,2008-12-23,2008-01-24,PHASE2,True,72,ACTUAL,Pfizer,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,72,none,0.08,0.3081775281985453,adjusted_mean_difference
NCT00394901,"A 13-Week, Randomized, Double-Blind, Multicenter, Placebo-Controlled Study Of Pregabalin For Postherpetic Neuralgia",COMPLETED,2007-11,2006-11-02,PHASE3,True,372,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,372,none,-0.31,0.27545470320180676,mean_difference_(final_values)
NCT00407745,A 17-Week Trial To Assess Pregabalin For The Treatment Of Nerve Pain Due To Spinal Cord Injury,COMPLETED,2011-02,2006-12-05,PHASE3,True,220,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,3,28072797;27611736;23345639,0,,results_pmid_strict,True,False,True,True,False,220,none,-0.59,0.19893950786797154,ls_mean_difference
NCT00141219,Pregabalin Peripheral Neuropathic Pain Study,COMPLETED,2007-12,2005-09-01,PHASE3,True,241,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,241,none,-0.5,0.255050651112784,mean_difference_(final_values)
NCT04653792,Role Of Pregabalin To Decrease Postoperative Pain In Microdiscectomy,COMPLETED,2020-04-17,2020-12-04,PHASE4,False,84,ACTUAL,Ziauddin University,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,84,none,,,
NCT01345045,A Multicenter Study Comparing the Analgesic Effects and Safety of ABT-639 Compared to Placebo in Subjects With Diabetic Neuropathic Pain,COMPLETED,2011-10,2011-04-29,PHASE2,False,193,ACTUAL,"AbbVie (prior sponsor, Abbott)",INDUSTRY,1,26067585,0,,results_pmid_strict,True,False,True,False,False,193,none,,,
