nct_id,pmid,pubmed_year,pubmed_journal,pubmed_title
NCT00177294,20957693,2010,International journal of geriatric psychiatry,Treating depression to remission in older adults: a controlled evaluation of combined escitalopram with interpersonal psychotherapy versus escitalopram with depression care management.
NCT00149825,18457236,2008,Sleep,Cognitive behavioral therapy for insomnia enhances depression outcome in patients with comorbid major depressive disorder and insomnia.
NCT00367341,23760393,2013,JAMA psychiatry,Toward a neuroimaging treatment selection biomarker for major depressive disorder.
NCT00166114,18378867,2008,Psychosomatic medicine,Platelet thromboxane A2 secretion in patients with major depression responsive to electroconvulsive therapy.
