nct_id,brief_title,overall_status,completion_date,study_first_post_date,phase,has_results,enrollment_count,enrollment_type,lead_sponsor_name,lead_sponsor_class,pmid_count,pmids,has_pmid,is_ghost_protocol,weight_n,weight_n_imputation
NCT00602849,Bioequivalency Study of Sertraline Under Fasting Conditions,COMPLETED,2003-07,2008-01-28,NA,False,38,ACTUAL,Roxane Laboratories,INDUSTRY,0,,False,True,38,none
NCT01360866,Safety and Tolerability of Oral OPC-34712 as Adjunctive Therapy in Adults With Major Depressive Disorder (the Orion Trial),COMPLETED,2017-05-18,2011-05-26,PHASE3,True,2944,ACTUAL,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,2,37656180;31577867,True,False,2944,none
NCT00245557,Magnetic Resonance Imaging Study of Geriatric Depression,COMPLETED,2008-08,2005-10-28,NA,True,43,ACTUAL,Mclean Hospital,OTHER,1,26891040,True,False,43,none
NCT00636246,A Comparison of Sertraline-reboxetine Combination Therapy Versus Sertraline or Reboxetine Monotherapy in the Treatment of Major Depression.,COMPLETED,2005-08,2008-03-14,PHASE2,False,510,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,False,True,510,none
NCT03414931,NMDA Modulation in Major Depressive Disorder in Late- Life,COMPLETED,2020-11,2018-01-30,PHASE2,False,136,ACTUAL,Chang Gung Memorial Hospital,OTHER,1,35023557,True,False,136,none
NCT04094870,A Pilot Trial of Perinatal Depression Treatment in HIV Infected Women,COMPLETED,2020-10-30,2019-09-19,PHASE4,True,80,ACTUAL,"University of North Carolina, Chapel Hill",OTHER,1,35803896,True,False,80,none
NCT01032434,"An 8-week, Open-label Study to Evaluate the Effect of Sertraline on Polysomnogram in Depressive Patients With Insomnia",COMPLETED,2012-05,2009-12-15,NA,False,31,ACTUAL,Guang Dong Provincial Mental Health Institute,OTHER,1,23994660,True,False,31,none
NCT00406952,Study for Evaluating Different Methods of Measuring Depression Treatment Response,COMPLETED,2007-08,2006-12-04,NA,False,165,ACTUAL,Pfizer,INDUSTRY,1,22541039,True,False,165,none
NCT01027559,fMRI Study of Treatment Changes in Major Depression,COMPLETED,2014-01,2009-12-08,NA,True,97,ACTUAL,Washington University School of Medicine,OTHER,0,,False,True,97,none
NCT01254305,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Adults With Fatigue Associated With Major Depressive Disorder,COMPLETED,2012-07,2010-12-06,PHASE2,True,262,ACTUAL,Forest Laboratories,INDUSTRY,0,,False,True,262,none
NCT00644982,A Comparison of Sertraline Versus Venlafaxine XR in the Treatment of Major Depression,COMPLETED,2003-09,2008-03-27,PHASE4,False,163,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,False,True,163,none
NCT05537584,SMART Trial to Predict Anhedonia Response to Antidepressant Treatment,COMPLETED,2025-08-26,2022-09-13,PHASE4,False,133,ACTUAL,Mclean Hospital,OTHER,0,,False,True,133,none
NCT00086138,Depression in Alzheimer's Disease-2,COMPLETED,2009-07,2004-06-28,PHASE2|PHASE3,True,131,ACTUAL,Johns Hopkins University,OTHER,3,20087081;20672243;17068314,True,False,131,none
NCT01032018,Comparison of Depression Interventions After Acute Coronary Syndrome,COMPLETED,2012-07,2009-12-15,PHASE1|PHASE2,True,150,ACTUAL,Columbia University,OTHER,1,23471421,True,False,150,none
NCT00375843,Brain Activity Changes and Treatment Response in Depressed People Who Are Receiving Antidepressant Medication,COMPLETED,2008-03,2006-09-13,PHASE4,False,118,ACTUAL,National Institute of Mental Health (NIMH),NIH,2,11772700;12062912,True,False,118,none
NCT02417064,"A Study to Evaluate the Efficacy, Safety, and Tolerability of Fixed Doses of Intranasal Esketamine Plus an Oral Antidepressant in Adult Participants With Treatment-resistant Depression",COMPLETED,2018-02-20,2015-04-15,PHASE3,True,346,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,12,38557430;37019044;36273682;35022754;34973081;34510411;34288609;34235612;33128208;32860422;32367114;31290965,True,False,346,none
NCT01569685,The Treatment of Traumatised Refugees With Sertraline Versus Venlafaxine in Combination With Psychotherapy,COMPLETED,2014-10,2012-04-03,PHASE4,False,207,ACTUAL,Charlotte Sonne,OTHER,2,27825327;23663588,True,False,207,none
NCT02269540,A New Treatment Approach for Major Depressive Disorder Based Upon Targeting Monoamine Oxidase A (MAO-A),COMPLETED,2018-07,2014-10-21,EARLY_PHASE1,False,10,ACTUAL,Centre for Addiction and Mental Health,OTHER,0,,False,True,10,none
NCT00000458,Sertraline and Cognitive Therapy in Depressed Alcoholics,COMPLETED,2002-01,1999-11-03,PHASE2,False,100,,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,0,,False,True,100,none
NCT00026637,Depression and Health Outcomes in Refractory Epilepsy,COMPLETED,2008-06,2001-11-15,PHASE3,False,140,ACTUAL,Columbia University,OTHER,1,33860531,True,False,140,none
NCT01114100,The Effects of Treatment With Sertraline for Noncardiac Chest Pain,COMPLETED,2002-12,2010-04-30,PHASE4,False,210,ACTUAL,Maastricht University Medical Center,OTHER,0,,False,True,210,none
NCT00232284,Treatment of Comorbid Depression and Substance Abuse in Young People,COMPLETED,2009-05,2005-10-04,PHASE2,False,60,ACTUAL,Dan Lubman,OTHER,0,,False,True,60,none
NCT00275197,"A Research Study to Compare the Treatments of a Combination of Elzasonan With Zoloft, to Zoloft Alone, or Placebo in People With Major Depressive Disorder (MDD)",COMPLETED,2007-07,2006-01-11,PHASE2,False,262,ACTUAL,Pfizer,INDUSTRY,0,,False,True,262,none
NCT01427608,Sustaining Remission of Psychotic Depression,COMPLETED,2017-11-30,2011-09-01,PHASE4,True,269,ACTUAL,Weill Medical College of Cornell University,OTHER,7,37258617;37149056;36535116;32101271;31429896;31207561;23351522,True,False,269,none
