nct_id,brief_title,overall_status,completion_date,study_first_post_date,phase,has_results,enrollment_count,enrollment_type,lead_sponsor_name,lead_sponsor_class,pmid_count,pmids,has_pmid,is_ghost_protocol,weight_n,weight_n_imputation
NCT00158990,Triiodothyronine (T3) Supplementation in the Treatment of Bipolar and Unipolar Depression.,COMPLETED,2007-07,2005-09-12,PHASE3,False,220,,Hadassah Medical Organization,OTHER,1,17548749,True,False,220,none
NCT01305889,The Effect of Problem Solving Therapy and Antidepressant Therapy on Cerebral Perfusion and Brain Derived Neurotropic Factor (BDNF) in Depressed Elders,COMPLETED,2018-02-16,2011-03-01,NA,False,19,ACTUAL,"University of California, San Francisco",OTHER,0,,False,True,19,none
NCT01454635,Analisis of Facors Involved in Antidepressant Treatment Response of Major Depressive Disorder,COMPLETED,2010-03,2011-10-19,NA,False,96,ACTUAL,Showa University,OTHER,0,,False,True,96,none
NCT02418585,"A Study to Evaluate the Efficacy, Safety, and Tolerability of Flexible Doses of Intranasal Esketamine Plus an Oral Antidepressant in Adult Participants With Treatment-resistant Depression",COMPLETED,2017-11-06,2015-04-16,PHASE3,True,236,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,16,41245530;38557430;37158911;37019044;36273682;35441931;35022754;34973081;34510411;34293233;34288609;34235612;33128208;32860422;32367114;31109201,True,False,236,none
NCT02565316,Efficacy of Nepeta Menthoides Extract on Anxiety of Patients With Depression: a Double-blind Randomized Controlled Clinical Trial,COMPLETED,2015-03,2015-10-01,PHASE2|PHASE3,False,70,ACTUAL,Shiraz University of Medical Sciences,OTHER,0,,False,True,70,none
NCT01033084,Efficacy Study of Transcranial Direct Current Stimulation to Treat Major Depressive Disorder,COMPLETED,2011-12,2009-12-16,PHASE2|PHASE3,False,120,ACTUAL,University of Sao Paulo,OTHER,3,20854930;23759172;23389323,True,False,120,none
NCT00612807,Treatment of Mood and Marriage Study (TOMMS),COMPLETED,2010-06,2008-02-12,PHASE1|PHASE2,True,42,ACTUAL,Duke University,OTHER,19,2378693;1550090;8749590;10439302;6829547;3942473;2647712;8034832;9366657;9892449;7264067;2590779;8046584;2647802;1918559;8326054;2301656;11026946;10780137,True,False,42,none
NCT00021528,Sequenced Treatment Alternatives to Relieve Depression (STAR*D),COMPLETED,2006-09,2001-07-23,PHASE4,False,4000,,National Institute of Mental Health (NIMH),NIH,127,14677083;12778843;12562566;11720698;15061154;15003429;16279277;15458854;15567207;15697056;15590040;15723023;15705000;15837455;15763119;15918345;15894381;15982748;16088018;16086615;16223963;16279871;16243357;16199008;16867922;16390886;16426099;16566612;16554525;16551710;16554526;16816220;16946177;16946176;17074942;16642436;16457894;16754414;16566901;16636629;16690084;16824617;17195602;17091129;17302619;37967350;37528149;36584711;34855649;34844152;33794315;32780949;31836507;31740109;31499373;31222720;30824246;30468137;30135031;29879133;29160301;28858443;28826087;28159590;27810720;27763941;27631142;27323698;27155023;27124715;27091189;26995233;26821198;26803397;26802021;26771572;26717526;26624926;26458184;26384013;25934187;25850031;25535009;25451401;25043320;24986638;24954156;24949937;24912106;24836083;24743720;24709691;24587318;23886402;23861180;23827886;23800418;23790554;23733030;23561231;23558394;23480315;23442899;23380715;23303512;23158458;22933451;22884879;22057975;22008447;21964277;21929846;21518864;21216475;21114950;20194481;20010317;19945804;19493369;19460188;19341509;19339358;19192454;19026268;18681756;18678792;18162025,True,False,4000,none
NCT00834652,Adding an Insulin-Sensitizing Medication to Depression Treatment for People Who Are Depressed and Overweight,COMPLETED,2013-05,2009-02-03,PHASE4,True,206,ACTUAL,Washington University School of Medicine,OTHER,0,,False,True,206,none
NCT00744406,Patient Dimensions as Predictors of Varied Treatment Responses and Outcomes in Patients With Major Depression,COMPLETED,,2008-09-01,PHASE2,False,72,ACTUAL,Centre for Addiction and Mental Health,OTHER,0,,False,True,72,none
NCT06124417,Efficacy and Safety of Sertraline in the Treatment of Maintenance Hemodialysis Patients With Depression,COMPLETED,2023-09-29,2023-11-09,PHASE4,False,125,ACTUAL,First Affiliated Hospital of Chongqing Medical University,OTHER,0,,False,True,125,none
NCT00043550,Treatments for Depression: Drug Versus Psychotherapy,COMPLETED,2009-06,2002-08-12,PHASE3,True,156,ACTUAL,University of Pennsylvania,OTHER,7,8916624;35913883;30821630;29336228;28086005;24176534;22152401,True,False,156,none
NCT00857584,Quetiapine XR Versus Sertraline in Acute Bipolar Depression as add-on Therapy,COMPLETED,2011-02,2009-03-06,PHASE3,True,27,ACTUAL,AstraZeneca,INDUSTRY,0,,False,True,27,none
NCT01437189,The Effects of Sertraline on Depression in Parkinson's Disease,COMPLETED,2013-11-01,2011-09-20,NA,True,35,ACTUAL,Zhejiang University,OTHER,1,19002650,True,False,35,none
NCT06357104,Detoxification From the Lipid Tract,COMPLETED,2024-03-20,2024-04-10,PHASE4,False,1,ACTUAL,"Pachankis, Yang I., M.D.",INDIV,18,31207206;34124081;32428379;24733016;32364672;23789008;21499463;6118165;34386973;35916248;29767950;19641187;38626245;36081497;20375550;20375558;34777794;32642434,True,False,1,none
NCT01407094,Establishing Moderators and Biosignatures of Antidepressant Response for Clinical Care for Depression,COMPLETED,2016-04,2011-08-01,PHASE2,True,296,ACTUAL,University of Texas Southwestern Medical Center,OTHER,21,25961712;28983519;26183698;28670629;29641834;30110685;27038550;29689518;30182751;29962359;36586213;34000130;33038902;32921587;32658822;31895437;31537090;31193824;31158720;30718038;30699849,True,False,296,none
NCT05950061,Sertraline Versus Escitalopram in South Asian Participants With Moderate to Severe Major Depressive Disorder,COMPLETED,2023-02-26,2023-07-18,PHASE3,False,744,ACTUAL,"KRL Hospital, Islamabad",OTHER,0,,False,True,744,none
NCT00263133,Modulation of Visually Evoked Potentials by an Antidepressant,COMPLETED,2006-01,2005-12-07,NA,False,12,,University Hospital Freiburg,OTHER,0,,False,True,12,none
NCT02497287,"A Long-term, Safety and Efficacy Study of Intranasal Esketamine in Treatment-resistant Depression",COMPLETED,2017-10-28,2015-07-14,PHASE3,True,802,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,8,39435126;38025433;38025416;36525338;36149841;34750057;32316080;32270176,True,False,802,none
NCT02228005,"The Effect of a Selective Serotonin Reuptake Inhibitor on Gait, Balance, and Bone Metabolism in Older Adults",COMPLETED,2016-07,2014-08-28,PHASE4,False,25,ACTUAL,"University Health Network, Toronto",OTHER,0,,False,True,25,none
NCT00000378,Antidepressant Treatment of Melancholia in Late Life,COMPLETED,2002-06,1999-11-03,PHASE4,True,110,ACTUAL,New York State Psychiatric Institute,OTHER,0,,False,True,110,none
NCT00004554,Sertraline for Alcohol Dependence and Depression,COMPLETED,2006-02,2000-02-07,PHASE4,False,171,ACTUAL,University of Pennsylvania,OTHER,1,20231324,True,False,171,none
NCT00179257,The Effectiveness of Sertraline in Patients Who Have Had Inadequate Response to Escitalopram,COMPLETED,2005-03,2005-09-15,PHASE3,False,20,,Vanderbilt University,OTHER,0,,False,True,20,none
NCT04476030,A Comparative Study of Sage-217 Plus an Antidepressant (ADT) Versus Placebo Plus an ADT in Adults With Major Depressive Disorder,COMPLETED,2021-12-22,2020-07-17,PHASE3,True,440,ACTUAL,Biogen,INDUSTRY,1,37875578,True,False,440,none
NCT00873795,Compare the Efficacy and Tolerability of the Combination of Aripiprazole and Selective Serotonin Reuptake Inhibitors (SSRIs) Used in Major Depression,COMPLETED,2009-03,2009-04-02,NA,False,41,ACTUAL,Chimei Medical Center,OTHER,0,,False,True,41,none
NCT00340379,Ziprasidone vs. Sertraline/Haloperidol in Psychotic Depression,COMPLETED,2005-08,2006-06-21,PHASE2|PHASE3,True,72,ACTUAL,Duke University,OTHER,0,,False,True,72,none
NCT01250873,A Pharmacokinetic Study of the Coadministration of LY2216684 With Sertraline,COMPLETED,2011-01,2010-12-01,PHASE1,True,20,ACTUAL,Eli Lilly and Company,INDUSTRY,0,,False,True,20,none
NCT00946998,Chronic Kidney Disease Antidepressant Sertraline Trial,COMPLETED,2017-11,2009-07-27,PHASE3,True,201,ACTUAL,VA Office of Research and Development,FED,4,23085503;29101402;35368605;31664940,True,False,201,none
NCT00009191,The Depression in Alzheimer's Disease Study (DIADS),COMPLETED,2007-11,2001-01-24,PHASE4,False,,,Johns Hopkins University,OTHER,1,11007727,True,False,120,median
NCT00080158,Treatment of Adolescent Suicide Attempters (TASA),COMPLETED,2007-06,2004-03-26,PHASE2|PHASE3,False,120,,New York State Psychiatric Institute,OTHER,2,19730274;19730273,True,False,120,none
NCT00056472,Study of Pharmacotherapy of Psychotic Depression,COMPLETED,2008-06,2003-03-17,PHASE3,True,259,ACTUAL,Weill Medical College of Cornell University,OTHER,14,34875106;29959765;28445632;25919834;24229753;23799875;23642462;23609383;22464991;19652123;18724788;18408527;18384244;17335316,True,False,259,none
NCT00602355,Effectiveness of Sertraline Alone and Interpersonal Psychotherapy Alone in Treating Women With Postpartum Depression,COMPLETED,2014-07,2008-01-28,PHASE2,True,162,ACTUAL,Women and Infants Hospital of Rhode Island,OTHER,1,30447565,True,False,162,none
NCT00485862,Combination Therapy in Patients With Depression,COMPLETED,2005-01,2007-06-13,PHASE4,False,214,ACTUAL,Eli Lilly and Company,INDUSTRY,1,19969374,True,False,214,none
NCT02901249,Cost- Effectiveness and Quality of Life Assessment in Major Depression Disorder,COMPLETED,2015-09,2016-09-15,PHASE4,True,68,ACTUAL,Federal University of Rio Grande do Sul,OTHER,1,28832750,True,False,68,none
NCT02493868,A Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Adult Participants With Treatment-resistant Depression,COMPLETED,2018-02-16,2015-07-10,PHASE3,True,719,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,7,38557430;37558912;36149841;35022754;34235612;32860422;31166571,True,False,719,none
NCT00233103,Treatment of Post-Traumatic Brain Injury (TBI) Depression,COMPLETED,2008-09,2005-10-05,PHASE2,True,52,ACTUAL,Icahn School of Medicine at Mount Sinai,OTHER,1,19406291,True,False,52,none
NCT00234312,Medications for the Treatment of Dysthymic Disorder and Double Depression,COMPLETED,2006-10,2005-10-06,PHASE4,False,40,,Oregon Health and Science University,OTHER,0,,False,True,40,none
NCT01028482,Treatment of Postpartum Depression With Psychotherapy and Add-on Sertraline,COMPLETED,2011-01,2009-12-09,NA,False,42,ACTUAL,Tel-Aviv Sourasky Medical Center,OTHER_GOV,1,22401479,True,False,42,none
NCT03978286,Vortioxetine vs Sertraline in Mexicans,COMPLETED,2018-06-30,2019-06-07,PHASE4,False,21,ACTUAL,Universidad Juárez Autónoma de Tabasco,OTHER,9,25690005;30287230;25628505;29792585;22973359;25249164;25995125;26209859;31930057,True,False,21,none
NCT00581009,The Role of Dopamine Metabolism in the Antidepressant Effects of Sleep Deprivation and Sertraline in Depressed Patients,COMPLETED,2011-12-09,2007-12-27,PHASE1|PHASE2,True,49,ACTUAL,"University of California, Irvine",OTHER,0,,False,True,49,none
NCT00276900,Sertraline for the Prevention of Recurrent Postpartum Depression,COMPLETED,2006-08,2006-01-13,PHASE3,False,300,,University of Pittsburgh,OTHER,0,,False,True,300,none
NCT00374426,Preventing Depression Recurrence in Diabetes,COMPLETED,2004-10,2006-09-11,PHASE4,False,262,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,0,,False,True,262,none
NCT00005013,Treatment of Major Depression With St. John's Wort (Hypericum),COMPLETED,2001-07,2000-04-03,NA,False,,,National Institute of Mental Health (NIMH),NIH,6,11939866;15876903;25544195;24232445;22592504;22053942,True,False,120,median
NCT00508859,Maintenance Study for Adolescent Depression,COMPLETED,,2007-07-30,PHASE4,False,93,ACTUAL,Sunnybrook Health Sciences Centre,OTHER,1,18759650,True,False,93,none
NCT00624013,Treatment of Diabetes and Depression in Hispanics and African Americans and Its Effect on A1c and Quality of Life.,COMPLETED,2008-10,2008-02-26,PHASE4,True,89,ACTUAL,Charles Drew University of Medicine and Science,OTHER,1,19729522,True,False,89,none
NCT06965569,Multiple Ascending Dose Phase 1 Study of ALA-3000,COMPLETED,2025-12-30,2025-05-11,PHASE1,False,37,ACTUAL,Alar Pharmaceuticals Inc.,INDUSTRY,0,,False,True,37,none
NCT02422186,"A Study to Evaluate the Efficacy, Safety, and Tolerability of Intranasal Esketamine Plus an Oral Antidepressant in Elderly Participants With Treatment-resistant Depression",COMPLETED,2017-08-10,2015-04-21,PHASE3,True,139,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,3,34235612;33128208;32860422,True,False,139,none
NCT00177996,Pharmacotherapy in Depression With Panic Spectrum,COMPLETED,2007-01,2005-09-15,PHASE4,False,30,ACTUAL,University of Pittsburgh,OTHER,0,,False,True,30,none
NCT00302068,Exercise to Treat Depression in Individuals With Coronary Heart Disease,COMPLETED,2011-12,2006-03-13,PHASE3,True,101,ACTUAL,Duke University,OTHER,7,11020092;10547175;15811982;15626549;12392873;15184688;22858387,True,False,101,none
NCT00666757,A Study Comparing Duloxetine to Other Antidepressants in the Treatment of Severe Depression,COMPLETED,2009-03,2008-04-25,PHASE4,True,750,ACTUAL,Eli Lilly and Company,INDUSTRY,2,25080392;22027844,True,False,750,none
NCT00208702,Thyroid Medication and Antidepressants for Treating Major Depression,COMPLETED,2003-07,2005-09-21,PHASE4,False,153,ACTUAL,Emory University,OTHER,1,22964160,True,False,153,none
NCT00001483,Acute Effectiveness of Additional Drugs to the Standard Treatment of Depression,COMPLETED,2002-05,1999-11-04,PHASE2,False,75,,National Institute of Mental Health (NIMH),NIH,3,2500425;7929019;8279933,True,False,75,none
NCT03434041,"A Study to Evaluate the Efficacy, Pharmacokinetics, Safety and Tolerability of Flexible Doses of Intranasal Esketamine Plus an Oral Antidepressant in Adult Participants With Treatment-resistant Depression",COMPLETED,2021-04-13,2018-02-15,PHASE3,True,252,ACTUAL,"Janssen Research & Development, LLC",INDUSTRY,0,,False,True,252,none
NCT00835627,Treatment Trial for Psychogenic Nonepileptic Seizures,COMPLETED,2013-06,2009-02-03,PHASE4,False,38,ACTUAL,Rhode Island Hospital,OTHER,15,11914432;12609316;15186340;16150653;16540377;16636265;16769930;18070841;18282812;18317280;24111933;23458467;23281644;21299547;24989152,True,False,38,none
NCT00078286,Antidepressant Medication Treatment for Depression in Individuals With Chronic Heart Failure,COMPLETED,2008-09,2004-02-24,PHASE2|PHASE3,True,469,ACTUAL,Duke University,OTHER,4,20723799;26186432;20101071;18760123,True,False,469,none
NCT00116857,Omega-3 Fatty Acids to Improve Depression and Reduce Cardiovascular Risk Factors,COMPLETED,2009-11,2005-07-01,PHASE3,True,122,ACTUAL,Washington University School of Medicine,OTHER,4,19843899;34817851;26930527;21665007,True,False,122,none
NCT00351910,Efficacy of Seroquel SR in Combination With an Antidepressant in Treatment of Major Depressive Disorder,COMPLETED,2007-04,2006-07-13,PHASE3,False,494,ACTUAL,AstraZeneca,INDUSTRY,8,26474010;24816198;24175721;24108148;24067192;23672772;23497790;19358791,True,False,494,none
NCT01098318,Rhodiola Rosea Therapy of Major Depressive Disorder,COMPLETED,2013-07,2010-04-02,PHASE3,True,58,ACTUAL,University of Pennsylvania,OTHER,1,25837277,True,False,58,none
NCT01896934,Frontal Hypoperfusion Effects on Antidepressant Outcomes in Late-Life Depression,COMPLETED,2016-06,2013-07-11,PHASE4,True,31,ACTUAL,Vanderbilt University,OTHER,0,,False,True,31,none
NCT00178828,Dynamic Measures of Neurochemistry in Mood Disorders,COMPLETED,2013-04,2005-09-15,PHASE4,False,42,ACTUAL,Vanderbilt University Medical Center,OTHER,0,,False,True,42,none
NCT01109693,Strategic Use of New Generation Antidepressants for Depression,COMPLETED,2015-12,2010-04-23,PHASE4,False,2011,ACTUAL,Kyoto University,OTHER,4,29991347;26466684;22682213;21569309,True,False,2011,none
NCT02122393,"A Randomised Trial of Sertraline, Cognitive Behaviour Therapy & Combined Therapy for Postnatal Depression",COMPLETED,2005-04,2014-04-24,PHASE3,False,45,ACTUAL,University of Melbourne,OTHER,0,,False,True,45,none
NCT00531518,Early Detection and Intervention for the Prevention of Psychosis,COMPLETED,2013-09,2007-09-19,NA,True,292,ACTUAL,MaineHealth,OTHER,2,26766751;25065017,True,False,292,none
NCT00182078,A Study of Sertraline to Prevent PTSD,COMPLETED,2006-07,2005-09-16,PHASE4,True,26,ACTUAL,Massachusetts General Hospital,OTHER,10,15994712;11589526;11501691;11882804;12874500;11379543;16797442;22040192;38767196;35141873,True,False,26,none
NCT00421369,"Augmentation of the Antidepressant Action of Sertraline With Triiodothyronine (T3)and Reboxetine: Clinical Efficacy, Adverse Effects and Predictors of Response.",COMPLETED,2011-08,2007-01-12,NA,False,35,ACTUAL,Hadassah Medical Organization,OTHER,0,,False,True,35,none
NCT02655354,A Policy Relevant US Trauma Care System Pragmatic Trial for PTSD and Comorbidity,COMPLETED,2019-11,2016-01-14,NA,True,635,ACTUAL,University of Washington,OTHER,7,38287923;37085877;35979039;34932440;34225296;33688908;27130272,True,False,635,none
NCT00179283,Sertraline vs. Venlafaxine XR,COMPLETED,2003-04,2005-09-15,PHASE3,False,20,,Vanderbilt University,OTHER,1,17196045,True,False,20,none
NCT03779789,Vortioxetine in the Elderly vs. Selective Serotonin Reuptake Inhibitors (SSRIs): a Pragmatic Assessment,COMPLETED,2023-02-28,2018-12-19,PHASE4,False,362,ACTUAL,Azienda Ospedaliera Universitaria Integrata Verona,OTHER,3,32746941;40679716;38384338,True,False,362,none
NCT00331305,Exercise Training Versus Drug Therapy for Treating Depression in Older Adults,COMPLETED,2007-05,2006-05-29,PHASE3,False,457,ACTUAL,Duke University,OTHER,5,10547175;16223547;26867076;21148807;17846259,True,False,457,none
NCT02955719,CAMH - McMaster Collaborative Care Initiative For Mental Health Risk Factors In Dementia,COMPLETED,2020-07-16,2016-11-04,NA,False,145,ACTUAL,Centre for Addiction and Mental Health,OTHER,1,12053639,True,False,145,none
NCT00078767,Pharmacologic Treatment of PTSD in Sexually Abused Children,COMPLETED,2006-03,2004-03-08,PHASE3,True,24,ACTUAL,Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute),OTHER,1,17581445,True,False,24,none
NCT00654953,"Clinical Efficacy of Sertraline Augmented With Gabapentin in Depressed, Recently Abstinent Cocaine-dependent Humans",COMPLETED,2009-05,2008-04-09,PHASE2,True,102,ACTUAL,University of Arkansas,OTHER,0,,False,True,102,none
NCT00159965,Treatments for Psychogenic Nonepileptic Seizures (NES),COMPLETED,2009-06,2005-09-12,PHASE4,True,38,ACTUAL,Rhode Island Hospital,OTHER,11,15186340;11914432;16540377;16150653;18282812;18317280;12609316;16769930;18070841;19652140;20739647,True,False,38,none
NCT00057642,Improving Retention of Hispanics Receiving Antidepressant Therapy,COMPLETED,2006-08,2003-04-07,NA,False,50,ACTUAL,New York State Psychiatric Institute,OTHER,1,23965261,True,False,50,none
NCT00601588,Bioequivalency Study of Sertraline Under Fed Conditions,COMPLETED,2003-07,2008-01-28,NA,False,43,ACTUAL,Roxane Laboratories,INDUSTRY,0,,False,True,43,none
NCT06725771,A Non-randomized Controlled Trial Was Conducted to Observe the Improvement in the Level of HAMA in Patients With Generalized Anxiety Disorder During the 6-week Period of Oral Treatment With Chaihu Jia Longgu Muli Tang (Bupleurum Plus Dragon Bone and Oyster Shell Decoction) Combined With Sertraline.,COMPLETED,2024-10-31,2024-12-10,NA,False,205,ACTUAL,Lin Xiaoqian,OTHER,0,,False,True,205,none
NCT02469545,Effect of Lactobacillus Plantarum 299v Supplementation on Major Depression Treatment,COMPLETED,2016-03,2015-06-11,PHASE2,False,60,ACTUAL,Medical University of Bialystok,OTHER,0,,False,True,60,none
NCT00276965,"Bipolar II Depression: Lithium, SSRI, or the Combination",COMPLETED,2012-07,2006-01-13,PHASE3,False,139,ACTUAL,Lindner Center of HOPE,OTHER,0,,False,True,139,none
NCT02473783,The Serotonin Transporter Availability for Prognosing Major Depressive Disorder (MDD) Treatment and Detecting MDD,COMPLETED,2012-11,2015-06-17,PHASE2,True,37,ACTUAL,Tri-Service General Hospital,OTHER,0,,False,True,37,none
NCT00339066,Effect of Brain Lesion Severity on Treatment Response in Late-Life Depression,COMPLETED,2006-03,2006-06-20,NA,False,131,ACTUAL,Duke University,OTHER,1,18813343,True,False,131,none
NCT03514810,Combined Sertraline and Ketoprofen Administration in Major Depressive Disorder,COMPLETED,2017-12-31,2018-05-02,PHASE1,False,28,ACTUAL,Kufa University,OTHER,0,,False,True,28,none
NCT00229476,Study of Medication and Placebo Response in Major Depression,COMPLETED,,2005-09-29,PHASE4,False,60,,"University of California, Los Angeles",OTHER,3,11772700;12062912;15252704,True,False,60,none
NCT05588102,Electronic Training of Elderly Depression With Cognitive Impairment,COMPLETED,2023-08-01,2022-10-20,NA,False,128,ACTUAL,Capital Medical University,OTHER,6,10513852;30658276;30611911;30142588;22940498;39587504,True,False,128,none
NCT00536198,Evaluating the Effectiveness of Sertraline in Treating Women With Premenstrual Dysphoric Disorder,COMPLETED,2012-02,2007-09-27,PHASE4,True,252,ACTUAL,Yale University,OTHER,8,18395582;18328013;17937566;17470584;17454164;22393222;37212651;26351969,True,False,252,none
