nct_id,pmid,pubmed_year,pubmed_journal,pubmed_title
NCT00301223,28072797,2017,Pain physician,Effect of Concomitant Pain Medications on Response to Pregabalin in Patients with Postherpetic Neuralgia or Spinal Cord Injury-Related Neuropathic Pain.
NCT00301223,27611736,2017,Pain practice : the official journal of World Institute of Pain,"Effects of Pregabalin in Patients with Neuropathic Pain Previously Treated with Gabapentin: A Pooled Analysis of Parallel-Group, Randomized, Placebo-controlled Clinical Trials."
NCT00570310,21185118,2011,Pain,Impact of responder definition on the enriched enrollment randomized withdrawal trial design for establishing proof of concept in neuropathic pain.
NCT03221907,33272643,2020,Clinical therapeutics,"Efficacy and Safety of the Controlled-release Pregabalin Tablet (GLA5PR GLARS-NF1) and Immediate-release Pregabalin Capsule for Peripheral Neuropathic Pain: A Multicenter, Randomized, Double-blind, Parallel-group, Active-controlled, Phase III Clinical Trial."
NCT00637975,11981518,2002,Minerva anestesiologica,"[Validation of the Italian version of the ""Neuropathic Pain Scale"" and its clinical applications]."
NCT00637975,15952009,2006,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,No pain relief from morphine? Individual variation in sensitivity to morphine and the need to switch to an alternative opioid in cancer patients.
NCT00637975,15102384,1998,"European journal of pain (London, England)","Controlled-release oxycodone compared with controlled-release morphine in the treatment of cancer pain: a randomized, double-blind, parallel-group study."
NCT00637975,9779695,1998,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"Randomized, double-blind, cross-over trial comparing safety and efficacy of oral controlled-release oxycodone with controlled-release morphine in patients with cancer pain."
NCT00637975,15951657,2005,The Clinical journal of pain,Management of chronic neuropathic pain with methadone: a review of 13 cases.
NCT00637975,17019254,2002,Current opinion in anaesthesiology,Cancer pain: an update of pharmacological approaches in pain therapy.
NCT00637975,11758872,2001,"Oncology (Williston Park, N.Y.)",Neuropathic cancer pain: the role of adjuvant analgesics.
NCT00637975,12131110,2002,Anesthesiology,Gabapentin suppresses cutaneous hyperalgesia following heat-capsaicin sensitization.
NCT00637975,15254060,2004,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Gabapentin for neuropathic cancer pain: a randomized controlled trial from the Gabapentin Cancer Pain Study Group.
NCT00637975,12195763,2002,Tumori,"Amitriptyline in neuropathic cancer pain in patients on morphine therapy: a randomized placebo-controlled, double-blind crossover study."
NCT00637975,8867252,1996,Pain,Assessment of cancer pain: a prospective evaluation in 2266 cancer patients referred to a pain service.
NCT00637975,1705692,1990,Pain,The nature of opioid responsiveness and its implications for neuropathic pain: new hypotheses derived from studies of opioid infusions.
NCT00637975,10517041,1999,Journal of pain and symptom management,Pain and loss of function in head and neck cancer survivors.
NCT00637975,8577492,1995,Pain,Validation of World Health Organization Guidelines for cancer pain relief: a 10-year prospective study.
NCT00637975,8821560,1996,Hematology/oncology clinics of North America,Clinicopathologic correlates of common cancer pain syndromes.
NCT00637975,7701120,1994,Seminars in neurology,Taxonomy and mechanisms of neuropathic pain.
NCT00637975,15907646,2005,Journal of pain and symptom management,Oxycodone.
NCT00637975,17038030,2006,European journal of neurology,EFNS guidelines on pharmacological treatment of neuropathic pain.
NCT00637975,14982201,2004,Palliative medicine,Gabapentin in the treatment of neuropathic pain.
NCT00637975,16351524,2005,Journal of palliative medicine,"Gabapentin is effective in the treatment of cancer-related neuropathic pain: a prospective, open-label study."
NCT00637975,15610058,2005,Drugs,Pregabalin: in the treatment of postherpetic neuralgia.
NCT00637975,17131133,2007,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,What is new in neuropathic pain?
NCT00637975,17144773,2006,Expert review of neurotherapeutics,Pregabalin for the treatment of painful neuropathy.
NCT00637975,17156920,2007,Pain,Exploring joint effects of genes and the clinical efficacy of morphine for cancer pain: OPRM1 and COMT gene.
NCT00637975,4075313,1985,Cancer treatment reports,Randomized phase II clinical trials.
NCT00637975,1714502,1991,Journal of palliative care,The Edmonton Symptom Assessment System (ESAS): a simple method for the assessment of palliative care patients.
NCT00637975,8826494,1996,Pain,A validation study of an Italian version of the Brief Pain Inventory (Breve Questionario per la Valutazione del Dolore).
NCT00637975,23577077,2013,PloS one,Randomised phase II trial (NCT00637975) evaluating activity and toxicity of two different escalating strategies for pregabalin and oxycodone combination therapy for neuropathic pain in cancer patients.
NCT02180880,26368836,2016,American journal of physical medicine & rehabilitation,Symptom-Based Treatment of Neuropathic Pain in Spinal Cord-Injured Patients: A Randomized Crossover Clinical Trial.
NCT00143156,31802967,2019,Pragmatic and observational research,"Integrating Machine Learning With Microsimulation to Classify Hypothetical, Novel Patients for Predicting Pregabalin Treatment Response Based on Observational and Randomized Data in Patients With Painful Diabetic Peripheral Neuropathy."
NCT00143156,30521533,2018,PloS one,Using time series analysis approaches for improved prediction of pain outcomes in subgroups of patients with painful diabetic peripheral neuropathy.
NCT00143156,30206821,2018,Advances in therapy,Predicting Responses to Pregabalin for Painful Diabetic Peripheral Neuropathy Based on Trajectory-Focused Patient Profiles Derived from the First 4 Weeks of Treatment.
NCT00143156,30084288,2018,Current medical research and opinion,The efficacy of pregabalin for treating pain associated with diabetic peripheral neuropathy in subjects with type 1 or type 2 diabetes mellitus.
NCT00143156,27611736,2017,Pain practice : the official journal of World Institute of Pain,"Effects of Pregabalin in Patients with Neuropathic Pain Previously Treated with Gabapentin: A Pooled Analysis of Parallel-Group, Randomized, Placebo-controlled Clinical Trials."
NCT00159666,28072797,2017,Pain physician,Effect of Concomitant Pain Medications on Response to Pregabalin in Patients with Postherpetic Neuralgia or Spinal Cord Injury-Related Neuropathic Pain.
NCT00159666,27611736,2017,Pain practice : the official journal of World Institute of Pain,"Effects of Pregabalin in Patients with Neuropathic Pain Previously Treated with Gabapentin: A Pooled Analysis of Parallel-Group, Randomized, Placebo-controlled Clinical Trials."
NCT02417935,30271191,2018,Journal of pain research,"Duloxetine in patients with diabetic peripheral neuropathic pain in Japan: a randomized, doubleblind, noninferiority comparative study with pregabalin."
