nct_id,pmid,pubmed_year,pubmed_journal,pubmed_title
NCT00755573,22879908,2012,PloS one,"Effects of pregabalin on central sensitization in patients with chronic pancreatitis in a randomized, controlled trial."
NCT00755573,21848870,2011,Alimentary pharmacology & therapeutics,Randomised clinical trial: pregabalin attenuates experimental visceral pain through sub-cortical mechanisms in patients with painful chronic pancreatitis.
NCT01450163,28652279,2017,The oncologist,"Pregabalin for the Prevention of Oxaliplatin-Induced Painful Neuropathy: A Randomized, Double-Blind Trial."
NCT01270828,27753650,2017,The Clinical journal of pain,"Efficacy and Safety of Once-Daily Controlled-Release Pregabalin for the Treatment of Patients With Postherpetic Neuralgia: A Double-Blind, Enriched Enrollment Randomized Withdrawal, Placebo-Controlled Trial."
NCT05624853,39018898,2024,Journal of diabetes and its complications,A phase 4 randomized active-controlled clinical study to compare the efficacy and safety of sustained-release pregabalin with immediate-release pregabalin in type 2 diabetic patients with peripheral neuropathic pain.
NCT01869569,30457920,2019,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Effect of Pregabalin on Radiotherapy-Related Neuropathic Pain in Patients With Head and Neck Cancer: A Randomized Controlled Trial.
NCT00407745,28072797,2017,Pain physician,Effect of Concomitant Pain Medications on Response to Pregabalin in Patients with Postherpetic Neuralgia or Spinal Cord Injury-Related Neuropathic Pain.
NCT00407745,27611736,2017,Pain practice : the official journal of World Institute of Pain,"Effects of Pregabalin in Patients with Neuropathic Pain Previously Treated with Gabapentin: A Pooled Analysis of Parallel-Group, Randomized, Placebo-controlled Clinical Trials."
NCT00407745,23345639,2013,Neurology,A randomized trial of pregabalin in patients with neuropathic pain due to spinal cord injury.
NCT01202227,25114584,2014,Journal of pain research,"An open-label, long-term study examining the safety and tolerability of pregabalin in Japanese patients with central neuropathic pain."
NCT01352741,24738609,2015,Pain practice : the official journal of World Institute of Pain,"Effectiveness and Safety of Tapentadol Prolonged Release (PR) Versus a Combination of Tapentadol PR and Pregabalin for the Management of Severe, Chronic Low Back Pain With a Neuropathic Component: A Randomized, Double-blind, Phase 3b Study."
NCT01352741,24750558,2015,Pain practice : the official journal of World Institute of Pain,"Effectiveness and Tolerability of a Moderate Dose of Tapentadol Prolonged Release for Managing Severe, Chronic Low Back Pain with a Neuropathic Component: An Open-label Continuation Arm of a Randomized Phase 3b Study."
NCT00643760,23186035,2013,Pain practice : the official journal of World Institute of Pain,"A randomized, controlled trial of gabapentin enacarbil in subjects with neuropathic pain associated with diabetic peripheral neuropathy."
NCT03928093,39441591,2024,JAMA dermatology,Pregabalin for Neuropathic Pain and Itch in Recessive Dystrophic Epidermolysis Bullosa: A Randomized Crossover Trial.
NCT01713426,34554688,2021,Pain physician,Treatment Impact on Patient-Reported Outcomes in Peripheral Neuropathic Pain: Comparing Single Intervention With Topical High-Concentration Capsaicin to Daily Oral Pregabalin.
NCT01701362,30242745,2018,Journal of neurology,"Efficacy of pregabalin in post-traumatic peripheral neuropathic pain: a randomized, double-blind, placebo-controlled phase 3 trial."
NCT02240199,30844507,2019,The journal of pain,"Perioperative Pregabalin and Intraoperative Lidocaine Infusion to Reduce Persistent Neuropathic Pain After Breast Cancer Surgery: A Multicenter, Factorial, Randomized, Controlled Pilot Trial."
NCT00385671,21719618,2011,Mayo Clinic proceedings,"Duloxetine, pregabalin, and duloxetine plus gabapentin for diabetic peripheral neuropathic pain management in patients with inadequate pain response to gabapentin: an open-label, randomized, noninferiority comparison."
NCT00385671,24837444,2014,International journal of clinical practice,Comparative safety and tolerability of duloxetine vs. pregabalin vs. duloxetine plus gabapentin in patients with diabetic peripheral neuropathic pain.
NCT01345045,26067585,2015,Pain,"A randomized double-blind, placebo-, and active-controlled study of T-type calcium channel blocker ABT-639 in patients with diabetic peripheral neuropathic pain."
NCT00638443,17552065,2007,The Journal of rheumatology,Preliminary development of a responder index for chronic low back pain.
NCT00638443,16427000,2006,The journal of pain,Ion channel targets and treatment efficacy in neuropathic pain.
NCT00638443,11040847,2000,Mayo Clinic proceedings,Test-retest reproducibility of the exercise treadmill examination in lumbar spinal stenosis.
NCT00638443,9474733,1998,Spine,Use of the exercise treadmill to measure baseline functional status and surgical outcome in patients with severe lumbar spinal stenosis.
NCT00638443,8779009,1996,Spine,Measurement properties of a self-administered outcome measure in lumbar spinal stenosis.
NCT00292188,21439051,2011,Health and quality of life outcomes,Relationships between changes in pain severity and other patient-reported outcomes: an analysis in patients with posttraumatic peripheral neuropathic pain.
NCT05324059,17309705,2006,Pain practice : the official journal of World Institute of Pain,Epidemiology of refractory neuropathic pain.
NCT05324059,16618472,2006,The journal of pain,The epidemiology of chronic pain of predominantly neuropathic origin. Results from a general population survey.
NCT05324059,9650647,1998,Toxicology letters,The experimental toxicology of tramadol: an overview.
NCT05324059,12638396,2003,Journal of clinical pharmacology,Pharmacokinetics of pregabalin in subjects with various degrees of renal function.
NCT05324059,17891748,2007,Biopharmaceutics & drug disposition,Pharmacokinetics of tramadol and its three main metabolites in healthy male and female volunteers.
NCT05324059,24717054,2014,The Journal of pharmacy and pharmacology,Effects of type 1 and type 2 diabetes on the pharmacokinetics of tramadol enantiomers in patients with neuropathic pain phenotyped as cytochrome P450 2D6 extensive metabolizers.
NCT05324059,20147618,2010,Journal of clinical pharmacology,Clinical pharmacokinetics of pregabalin in healthy volunteers.
NCT05324059,25078976,2014,Clinical drug investigation,"Pharmacokinetics of pregabalin controlled-release in healthy volunteers: effect of food in five single-dose, randomized, clinical pharmacology studies."
NCT05324059,30136102,2018,European journal of clinical pharmacology,A pharmacokinetic drug-drug interaction study between pregabalin and tramadol in healthy volunteers.
NCT05324059,27140798,2015,Clinical pharmacology in drug development,Single- and multiple-dose pharmacokinetic studies of tramadol immediate-release tablets in children and adolescents.
NCT05324059,27138295,2016,Clinical pharmacology in drug development,Single-Dose Pharmacokinetic Study of Tramadol Extended-Release Tablets in Children and Adolescents.
NCT05324059,25530068,2017,Asia-Pacific journal of clinical oncology,Efficacy and safety of pregabalin in patients with neuropathic cancer pain undergoing morphine therapy.
NCT05324059,9633738,1998,Neurology,Double-blind randomized trial of tramadol for the treatment of the pain of diabetic neuropathy.
NCT05324059,29390451,2017,Medicine,The efficacy of pregabalin for acute pain control in herpetic neuralgia patients: A meta-analysis.
NCT05324059,30242745,2018,Journal of neurology,"Efficacy of pregabalin in post-traumatic peripheral neuropathic pain: a randomized, double-blind, placebo-controlled phase 3 trial."
NCT05324059,30670513,2019,BMJ open,Benefits and harms of pregabalin in the management of neuropathic pain: a rapid review and meta-analysis of randomised clinical trials.
NCT05324059,24279736,2015,Pain practice : the official journal of World Institute of Pain,A comprehensive drug safety evaluation of pregabalin in peripheral neuropathic pain.
NCT05324059,25135386,2014,Pain and therapy,A Model-Based Meta-analysis to Compare Efficacy and Tolerability of Tramadol and Tapentadol for the Treatment of Chronic Non-Malignant Pain.
NCT05324059,23544720,2012,Semergen,[Prevalence of neuropathic pain according to the NP4 test in primary care].
NCT05324059,21353106,2010,Clinical therapeutics,"Efficacy and tolerability of pregabalin using a flexible, optimized dose schedule in Korean patients with peripheral neuropathic pain: a 10-week, randomized, double-blind, placebo-controlled, multicenter study."
NCT00407511,20487048,2010,International journal of clinical practice,"A prospective, open-label, multicentre study of pregabalin in the treatment of neuropathic pain in Latin America."
NCT01364298,26885528,2016,Journal of diabetes research,Clinical Trial Assessing the Efficacy of Gabapentin Plus B Complex (B1/B12) versus Pregabalin for Treating Painful Diabetic Neuropathy.
