run_date,intervention,condition,total_completed,with_pmid,unpublished_with_results,ghost_protocols,ghost_ratio,with_results
2026-02-14,sertraline,depression,43,11,19,9,0.209302,27
2026-02-14,escitalopram,depression,73,11,35,18,0.246575,44
2026-02-14,duloxetine,depression,37,5,23,7,0.189189,28
2026-02-14,quetiapine,depression,18,0,13,3,0.166667,13
2026-02-14,pregabalin,neuropathic pain,35,1,18,9,0.257143,19
2026-02-14,oseltamivir,influenza,25,1,14,5,0.200000,15
